Column1,year,city_x,id,province_x,province_id,Gdpct01,Gdpct02,Gdpct03,Gdpct04,GDP_PerCapita,Envirct04,Envirct06,Envirct09,Eect01,Eect02,Eect04,Fict03,Eicct01,bm,ccnl,egdp,hdmsp,hviirs,viirsl,viirsv1,viirsv2
180,1992,丽江市,530700,云南省,530000,9.3508,44.8,23.4,31.8,,,,,103.3,10.3,,,21486,,1358.085945,1126634875,3066.733333,,,,
181,1992,怒江傈僳族自治州,533300,云南省,530000,3.8976,38.7,28.3,33,,,,,44.3,4.7,,,14944,,283.9801277,662960100.9,707.6627451,,,,
182,1992,迪庆藏族自治州,533400,云南省,530000,3.4281,47.1,27.5,25.4,,,,,32.1,3.7,,,10863,,124.4255127,1011461968,268,,,,
183,1992,临沧市,530900,云南省,530000,16.3004,54.4,19.7,25.9,,,,,202.7,13.8,,,44395,,1393.543795,1449598907,2882.768627,,,,
184,1992,咸阳市,610400,陕西省,610000,62.2281,,,,1406,,,,445.3401,71.4875,436,,178589,,21590.26081,3526849622,41315.78824,,,,
185,1992,渭南市,610500,陕西省,610000,57.8981,,,,1180,,,,493.2458,69.6391,649,,196352,,29993.82397,2829911032,56596.35294,,,,
186,1992,汉中市,610700,陕西省,610000,52.7132,,,,1461,,,,361.1362,56.1971,827,,83891,,6620.535761,2082067089,13841,,,,
187,1992,安康市,610900,陕西省,610000,28.394,,,,991,,,,286.8859,30.5489,244,,64799,,1657.796808,1371477341,3773.890196,,,,
188,1992,商洛市,611000,陕西省,610000,18.1958,,,,783,,,,232.5125,17.496,,,27941,,1319.446778,1162806281,2925.231373,,,,
189,1992,延安市,610600,陕西省,610000,24.5072,,,,1342,,,,183.4749,31.4911,88,,78545,,8232.433718,4306696409,16265.43529,,,,
190,1992,榆林市,610800,陕西省,610000,21.68,,,,731,,,,298.4462,30.3538,53,,40178,,9929.494763,4759846395,20428.51373,,,,
