Sgnyea,Prvcnm_id,Prvcnm,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116
2000,320000,江苏省,8582.7276,1031.17,4435.889,3115.6686,12.0145,51.6839,36.3016,11772.9659
2000,540000,西藏自治区,117.464,36.32,27.214,53.93,30.9201,23.1679,45.9119,4558.6991
2000,440000,广东省,9662.23,1000.06,4868.75,3793.42,10.3502,50.3895,39.2603,12885.3958
2000,230000,黑龙江省,3253,357,1868.55,1027.45,10.9745,57.4408,31.5847,8561.6528
2000,210000,辽宁省,4669.06,503.44,2344.4,1821.22,10.7825,50.2114,39.0061,11226.4006
2000,460000,海南省,518.48,196.56,102.45,219.47,37.9108,19.7597,42.3295,6893.9475
2000,330000,浙江省,6036.34,664.16,3183.47,2188.71,11.0027,52.7384,36.2589,13460.9329
2000,420000,湖北省,4276.32,662.3,2123.7,1490.32,15.4876,49.6619,34.8505,7188.2764
2000,630000,青海省,263.59,38.53,114,111.06,14.6174,43.249,42.1336,5087.1369
2000,150000,内蒙古自治区,1401.01,350.8,556.28,493.93,25.0391,39.7056,35.2553,5871.7938
2000,530000,云南省,1955.09,436.26,843.24,675.59,22.3141,43.1305,34.5554,4636.6504
2000,620000,甘肃省,983.36,193.36,439.88,350.12,19.6632,44.7323,35.6045,3838.2514
2000,340000,安徽省,3038.2359,732.19,1296.312,1009.7339,24.0992,42.6666,33.2342,4867.4077
2000,360000,江西省,2003.07,485.14,700.76,817.17,24.2198,34.9843,40.7959,4851.2583
2000,640000,宁夏回族自治区,265.57,45.95,120.04,99.58,17.3024,45.2009,37.4967,4839.1035
2000,610000,陕西省,1660.92,279.12,731.9,649.9,16.8051,44.0659,39.1289,4549.2194
2000,370000,山东省,8542.44,1268.57,4244.4,3029.47,14.8502,49.686,35.4638,9555.2379
2000,650000,新疆维吾尔自治区,1364.36,288.18,586.84,489.34,21.122,43.0121,35.8659,7469.8056
2000,350000,福建省,3920.07,640.57,1711.16,1568.34,16.3408,43.6513,40.008,11601.2726
2000,130000,河北省,5088.96,824.55,2559.96,1704.45,16.2027,50.3042,33.4931,7662.7577
2000,140000,山西省,1643.81,179.86,827.59,636.36,10.9417,50.3458,38.7125,5137.0507
2000,310000,上海市,4551.15,83.2,2163.68,2304.27,1.8281,47.5414,50.6305,34546.9796
2000,410000,河南省,5137.66,1161.58,2413.78,1562.3,22.6091,46.9821,30.4088,5443.8781
2001,110000,北京市,3710.52,93.08,1030.6,1721.97,3.3,36.2,60.5,25523
2001,310000,上海市,5210.12,85.5,2355.53,2509.81,1.7,47.6,50.7,37382
2001,500000,重庆市,1765.68,293.03,727.66,729.08,16.7,41.6,41.7,5654
2001,120000,天津市,1919.09,78.55,904.64,856.91,4.2688,49.1625,46.5687,20154.4359
2001,142,中国,110863.123,15502.502,49659.3758,45701.2452,13.9835,44.7934,41.2231,8716.6822
