UpdateTimes,Sgnyea,Prvcnm_id,Prvcnm,Tpt0101,Tpt0103,Tpt0104
1,2008,350000,福建省,1618.421,88607,66461
1,2008,620000,甘肃省,2435.399,105638,58381
1,2008,640000,宁夏回族自治区,811.385,21008,19403
1,2008,230000,黑龙江省,5755.2,150845,104102
1,2008,340000,安徽省,2871.02,148827,134669
1,2008,630000,青海省,1676.4,56642,32649
1,2008,120000,天津市,764.296,12060,12060
1,2008,150000,内蒙古自治区,6840.34,147288,109646
1,2008,450000,广西壮族自治区,2731.36,99273,73052
1,2008,420000,湖北省,2710.966,188366,153665
1,2008,610000,陕西省,1195.3,131038,107618
1,2008,410000,河南省,4041.936,240645,170223
1,2008,110000,北京市,1166.549,20340,20135
1,2009,150000,内蒙古自治区,8074.209,150756,122231
1,2009,640000,宁夏回族自治区,890,21805,20297
1,2009,370000,山东省,3685.695,226693,223992
1,2009,460000,海南省,387.292,20041,14459
1,2009,500000,重庆市,1317.678,110950,70425
1,2009,520000,贵州省,1982.651,142561,68046
1,2009,610000,陕西省,3319.5,144109,128487
1,2009,320000,江苏省,1655.566,143803,134192
1,2009,630000,青海省,1676.9,60136,39726
1,2009,210000,辽宁省,4229.3,101117,83153
1,2009,360000,江西省,2712.357,137011,92237
1,2009,430000,湖南省,3693.031,191405,148180
1,2009,440000,广东省,2478.595,184960,160180
1,2009,330000,浙江省,1678.244,106952,102153
1,2009,620000,甘肃省,2435.387,114000,76631
1,2009,650000,新疆维吾尔自治区,3673.4,150683,91618
1,2009,130000,河北省,4880.286,152135,142777
1,2009,220000,吉林省,3913.52,88430,77643
1,2009,230000,黑龙江省,5756.1,151470,114511
1,2009,310000,上海市,317.7,11671,11671
1,2009,340000,安徽省,2849.88,149184,139424
1,2009,450000,广西壮族自治区,3125.982,100491,77154
1,2009,510000,四川省,3257.881,249168,183108
1,2009,140000,山西省,3536.318,127330,121310
1,2009,420000,湖北省,2980.242,197196,168834
1,2009,530000,云南省,2474.772,206028,138150
1,2009,120000,天津市,781.49,14316,14316
1,2009,142,中国,85517.886,3860823,3056265
1,2009,410000,河南省,3949.232,242314,177235
1,2009,540000,西藏自治区,525.5,53845,26063
1,2009,110000,北京市,1169.459,20755,20551
1,2009,350000,福建省,2109.719,89504,67512
1,2010,110000,北京市,1169.406,21114,20920
1,2010,120000,天津市,781.456,14832,14832
1,2010,130000,河北省,4916.406,154344,146053
1,2010,150000,内蒙古自治区,8947.108,157994,144395
1,2010,450000,广西壮族自治区,3204.995,101782,81239
1,2010,460000,海南省,693.748,21236,21012
1,2010,140000,山西省,3752.352,131644,127664
1,2010,370000,山东省,3833.426,229859,227719
1,2010,420000,湖北省,3360.265,206211,187812
1,2010,650000,新疆维吾尔自治区,4228.835,152843,98560
1,2010,500000,重庆市,1396.247,116949,77175
1,2010,330000,浙江省,1774.637,110177,105851
1,2010,540000,西藏自治区,531.547,60810,36229
1,2010,620000,甘肃省,2441.355,118879,85733
1,2010,640000,宁夏回族自治区,1248.386,22518,21198
1,2010,310000,上海市,422.407,11974,11974
1,2010,350000,福建省,2111.419,91015,70655
1,2010,430000,湖南省,3695.107,227998,184045
1,2010,230000,黑龙江省,5785,151945,118917
1,2010,340000,安徽省,2849.854,149382,142341
1,2010,320000,江苏省,1921.219,150307,141706
1,2010,440000,广东省,2726.947,190144,170144
1,2010,210000,辽宁省,4278.622,101545,84757
1,2010,220000,吉林省,4024.436,90437,81002
1,2010,142,中国,91178.479,4008229,3304709
1,2010,610000,陕西省,4079,147461,134498
1,2010,360000,江西省,2834.536,140597,101455
