region,regionCode,year,ccnl
海南省,460000,2010,171456.2353
河北省,130000,2010,1500945.82
河南省,410000,2010,1165810.542
黑龙江省,230000,2010,1299884.826
湖北省,420000,2010,528677.9655
湖南省,430000,2010,395408.9707
吉林省,220000,2010,693333.545
江苏省,320000,2010,1724391.023
江西省,360000,2010,333121.9549
辽宁省,210000,2010,963711.405
青海省,630000,2010,110332.4745
山东省,370000,2010,1873154.925
山西省,140000,2010,865585.8182
陕西省,610000,2010,798698.2475
四川省,510000,2010,628184.5515
台湾省,710000,2010,648540.2043
云南省,530000,2010,603641.1749
浙江省,330000,2010,1095695.12
北京市,110000,2010,395193.2783
上海市,310000,2010,344945.2106
天津市,120000,2010,346603.9086
重庆市,500000,2010,200844.2671
广西壮族自治区,450000,2010,447939.7513
内蒙古自治区,150000,2010,873197.1105
宁夏回族自治区,640000,2010,196309.8278
西藏自治区,540000,2010,33637.57538
新疆维吾尔自治区,650000,2010,736134.3889
澳门特别行政区,820000,2010,2832.796181
香港特别行政区,810000,2010,56079.42929
安徽省,340000,2011,738131.6147
福建省,350000,2011,574088.0354
甘肃省,620000,2011,333070.0674
广东省,440000,2011,1595127.428
贵州省,520000,2011,206404.2329
海南省,460000,2011,161111.7808
河北省,130000,2011,1360930.369
河南省,410000,2011,1164663.663
黑龙江省,230000,2011,1034142.244
湖北省,420000,2011,493906.7855
湖南省,430000,2011,384907.6394
吉林省,220000,2011,591985.3495
江苏省,320000,2011,1757597.675
江西省,360000,2011,333682.4796
辽宁省,210000,2011,935860.061
青海省,630000,2011,101230.3039
山东省,370000,2011,1811766.925
山西省,140000,2011,808788.9053
陕西省,610000,2011,667772.4907
四川省,510000,2011,543165.6694
台湾省,710000,2011,637334.5674
云南省,530000,2011,535465.1543
浙江省,330000,2011,1090026.333
北京市,110000,2011,363178.596
上海市,310000,2011,333149.3865
天津市,120000,2011,333457.947
重庆市,500000,2011,198438.2943
广西壮族自治区,450000,2011,467784.1555
内蒙古自治区,150000,2011,837036.9339
宁夏回族自治区,640000,2011,179049.4221
西藏自治区,540000,2011,32393.5953
