id,city,province_id,province,gdppc2000,ntlpc2000,gdppc2001,ntlpc2001,gdppc2002,ntlpc2002,gdppc2003,ntlpc2003,gdppc2004,ntlpc2004,gdppc2005,ntlpc2005,gdppc2006,ntlpc2006,gdppc2007,ntlpc2007,gdppc2008,ntlpc2008,gdppc2009,ntlpc2009,gdppc2010,ntlpc2010,gdppc2011,ntlpc2011,gdppc2012,ntlpc2012,gdppc2013,ntlpc2013,gdppc2014,ntlpc2014,gdppc2015,ntlpc2015,gdppc2016,ntlpc2016,gdppc2017,ntlpc2017,gdppc2018,ntlpc2018,gdppc2019,ntlpc2019,gdppc2020,ntlpc2020,gdppc2021,ntlpc2021
211000,辽阳市,210000,辽宁省,949.0954,49412.695,993.51538,50913.402,1109.006,43977.457,1309.101,49351.16,1590.022,52091.852,1813.5165,56681.824,2153.5891,80571.984,2550.2183,89327.68,3089.4766,78083.109,3314.7686,87677.258,4009.9783,70761.297,4872.0771,98152,5549.0186,144060.06,5999.9443,173365.59,5639.8906,156305.33,5746.2671,134761.88,3733.9412,151546.7,4322.1855,166322.69,4958.5293,211336.39,4765.0215,205647.56,4856.2319,203430.48,5018.8672,200755.2
211100,盘锦市,210000,辽宁省,2449.3071,80513.594,2448.0447,97358.852,2437.5303,93341.734,2717.1223,93331.82,2954.3269,82667.773,3505.3218,101115.27,4005.9009,109544.38,4390.4834,129158.38,5224.4585,119605.29,5206.6924,147616.7,7054.9883,151736.38,8535.9775,266528.88,9665.8096,298683.53,10473.334,250079.39,10094.576,248880.16,9702.9941,251276.27,7782.7393,259223.36,8388.7246,321479.81,9365.499,371058.25,9853.127,350306.06,10081.979,319487.69,10697.962,298985.28
211200,铁岭市,210000,辽宁省,423.80704,19098.07,461.32788,19881.191,507.21686,24738.535,589.57916,20168.115,719.24103,28108.355,873.19897,23717.623,1063.8094,30025.166,1322.7571,33376.41,1753.2855,29184.48,1978.7979,47718.195,2366.8633,45181.898,2865.998,59937.242,3227.4182,56353.32,3415.9326,38497.012,2871.8242,39212.129,2466.3794,34804.074,1964.7747,33091.988,2024.0579,44710.301,2114.6052,48105.281,2213.1155,50947.176,2324.2202,50399.219,2532.5698,57477.324
211300,朝阳市,210000,辽宁省,245.4156,5974.4995,277.47729,9814.7471,306.14557,12640.023,356.07727,17606.576,453.4877,22902.373,626.33594,18491.676,746.89795,23802.834,982.45148,36742.473,1310.0909,31936.777,1512.2301,40466.488,1935.1709,30327.023,2384.2234,48352.426,2702.9744,60624.941,2953.9321,48605.977,2916.9795,48032.07,2507.2834,39501.785,2100.6548,38832.641,2266.4373,43027.938,2475.2297,45975.172,2517.5249,49849.559,2646.1167,51976.203,2879.5505,55310.414
211400,葫芦岛市,210000,辽宁省,596.95526,17382.543,682.16943,26260.727,760.72351,33750.551,884.41418,37407.711,1074.5787,35402.855,1094.3368,23829.967,1262.6405,27528.832,1498.1342,27063.52,1632.739,34695.203,1578.3918,44707.48,1885.9121,35816.406,2310.9265,50502.625,2569.0447,56711.313,2769.239,57444.82,2570.5396,54389.422,2571.1077,55014.898,2307.8496,62252.723,2591.6812,76513.656,2940.6084,78978.852,2926.5554,86385.805,2828.1941,82157.75,3101.1943,87725.016
220100,长春市,220000,吉林省,1230.631,76372.891,1421.3015,75279.805,1614.288,78202.695,1862.9644,73610.508,2119.9092,67014.086,2294.5579,84220.258,2355.3179,96321.422,2800.5334,107209.29,3404.3804,106217.02,3765.3999,125526.3,4386.7134,102841.4,5254.9683,127009.06,5888.0229,121946.65,6647.2437,142309.25,7080.2813,126989.34,7335.8198,137088.5,7945.5557,149166.27,8672.5166,182140.94,9551.1885,192761.3,7832.499,214706.16,7778.334,208835.59,8339.9268,268655.75
220200,吉林市,220000,吉林省,929.3678,57083.363,1034.8707,50333.957,1194.8901,50769.418,1390.4166,38817.23,1640.068,41548.059,1466.2738,49540.203,1693.2211,60329.516,2329.8035,64699.973,2998.5122,62748.82,3455.8086,84945.477,4148.6479,65301.039,5095.771,87410.133,5640.9546,76606.641,6099.6157,79496.766,5564.271,65302.313,5616.9907,70678.859,5807.6719,76873.867,5318.0513,82889.094,5344.9375,91757.469,3441.5012,88716.422,3589.1145,91947.82,3857.8796,103705.94
220300,四平市,220000,吉林省,484.93744,17289.473,554.65564,11305.722,613.31116,14397.679,708.07416,17393.416,852.71735,14748.126,996.43219,12335.055,1147.5742,14163.586,1418.9099,17494.148,1767.2867,16539.025,1942.0698,23417.354,2289.0991,23305.365,2886.1982,32350.145,3338.5916,31337.621,3685.5767,36112.605,3688.7476,40736.871,3778.2195,40216.258,3679.0146,38282.93,2933.3018,49448.832,2957.668,51097.313,2502.2585,59653.113,2471.4648,85378.461,2645.7686,91763.313
220400,辽源市,220000,吉林省,540.02734,14967.651,512.48267,19480.307,561.11243,20610.488,657.08936,18288.777,807.06323,22331.166,1111.0391,19586.906,1392.7202,22367.16,1754.7415,28656.189,2198.8616,26034.539,2715.9639,36638.965,3314.2837,42900.582,4084.3193,59716.758,4960.0601,50226.691,5743.939,58379.781,5667.564,59984.621,6015.2349,59712.93,6387.7168,64710.035,5668.937,66785.352,5301.9541,74284.5,3521.0947,75008.539,3746.0813,91674.258,4073.8921,122705.75
220500,通化市,220000,吉林省,633.63025,17793.164,701.82501,21196.098,771.1452,34757.563,850.37708,28052.74,962.05664,39478.754,1032.364,33827.129,1255.0634,26429.617,1558.4491,32617.209,1969.212,36122.09,2283.8574,48701.727,2773.2373,39132.5,3452.3535,55014.27,3923.0774,24321.436,4513.9453,24356.195,4538.8892,21101.938,4528.3262,21263.566,4310.1724,19801.563,3850.4939,38683.277,3840.4185,54179.781,3379.6997,87662.516,2508.3442,102738.48,2698.3977,77980.297
220600,白山市,220000,吉林省,638.69269,26044.199,705.42273,23204.734,754.43451,30293.549,826.49866,16138.337,759.41681,23075.076,1231.6346,29863.58,1476.4993,28965.209,1827.6809,36748.496,2316.0764,38150.086,2749.2661,54918.09,3365.7109,38542.051,4135.353,63689.941,5028.71,38614.906,5298.8652,37094.273,5348.3989,31641.896,5332.6323,28025.197,5728.8184,30988.85,5522.5986,42670.645,5602.9629,47427.711,4374.4131,52122.734,4427.4629,47384.211,4773.0352,53936.723
