city,cityCode,year,hdmsp,province,provinceCode
阿勒泰地区,654300,1992,4077.384314,新疆维吾尔自治区,650000
和田地区,653200,1992,2602.847059,新疆维吾尔自治区,650000
喀什地区,653100,1992,7384.568627,新疆维吾尔自治区,650000
塔城地区,654200,1992,23674.35686,新疆维吾尔自治区,650000
百色市,451000,1992,11790.60392,广西壮族自治区,450000
北海市,450500,1992,9730.890196,广西壮族自治区,450000
崇左市,451400,1992,5799.6,广西壮族自治区,450000
防城港市,450600,1992,3905.27451,广西壮族自治区,450000
贵港市,450800,1992,12718.36471,广西壮族自治区,450000
桂林市,450300,1992,17034.10196,广西壮族自治区,450000
河池市,451200,1992,12347.95686,广西壮族自治区,450000
贺州市,451100,1992,5726.090196,广西壮族自治区,450000
来宾市,451300,1992,8717.768627,广西壮族自治区,450000
柳州市,450200,1992,21153.81176,广西壮族自治区,450000
南宁市,450100,1992,28402.19608,广西壮族自治区,450000
钦州市,450700,1992,5575.266667,广西壮族自治区,450000
梧州市,450400,1992,9280.4,广西壮族自治区,450000
玉林市,450900,1992,13246.50588,广西壮族自治区,450000
巴彦淖尔市,150800,1992,8050.309804,内蒙古自治区,150000
包头市,150200,1992,35494.39216,内蒙古自治区,150000
赤峰市,150400,1992,24204.93333,内蒙古自治区,150000
鄂尔多斯市,150600,1992,20547.61961,内蒙古自治区,150000
呼和浩特市,150100,1992,26639.85882,内蒙古自治区,150000
呼伦贝尔市,150700,1992,48085.13333,内蒙古自治区,150000
通辽市,150500,1992,15479.1098,内蒙古自治区,150000
乌海市,150300,1992,18606.37647,内蒙古自治区,150000
乌兰察布市,150900,1992,9323.52549,内蒙古自治区,150000
固原市,640400,1992,2723,宁夏回族自治区,640000
石嘴山市,640200,1992,14137.62353,宁夏回族自治区,640000
吴忠市,640300,1992,12308.73725,宁夏回族自治区,640000
银川市,640100,1992,26438.45882,宁夏回族自治区,640000
中卫市,640500,1992,5111.278431,宁夏回族自治区,640000
昌都市,540300,1992,170,西藏自治区,540000
拉萨市,540100,1992,2969.74902,西藏自治区,540000
林芝市,540400,1992,301,西藏自治区,540000
那曲市,540600,1992,112,西藏自治区,540000
日喀则市,540200,1992,309,西藏自治区,540000
山南市,540500,1992,1475.34902,西藏自治区,540000
哈密市,650500,1992,4712.909804,新疆维吾尔自治区,650000
克拉玛依市,650200,1992,17389.93725,新疆维吾尔自治区,650000
吐鲁番市,650400,1992,15616.34902,新疆维吾尔自治区,650000
乌鲁木齐市,650100,1992,45147.92941,新疆维吾尔自治区,650000
巴音郭楞蒙古自治州,652800,1992,32830.92549,新疆维吾尔自治区,650000
博尔塔拉蒙古自治州,652700,1992,1801.764706,新疆维吾尔自治区,650000
昌吉回族自治州,652300,1992,22453.05098,新疆维吾尔自治区,650000
克孜勒苏柯尔克孜自治州,653000,1992,279,新疆维吾尔自治区,650000
伊犁哈萨克自治州,654000,1992,11618.19608,新疆维吾尔自治区,650000
阿拉尔市,659002,1992,553,新疆维吾尔自治区,650000
北屯市,659005,1992,627.6196078,新疆维吾尔自治区,650000
胡杨河市,659010,1992,557,新疆维吾尔自治区,650000
可克达拉市,659008,1992,549.8627451,新疆维吾尔自治区,650000
昆玉市,659009,1992,0,新疆维吾尔自治区,650000
石河子市,659001,1992,4225.647059,新疆维吾尔自治区,650000
双河市,659007,1992,170.7098039,新疆维吾尔自治区,650000
铁门关市,659006,1992,526.4862745,新疆维吾尔自治区,650000
图木舒克市,659003,1992,123,新疆维吾尔自治区,650000
五家渠市,659004,1992,2104.54902,新疆维吾尔自治区,650000
新星市,659011,1992,86.09019608,新疆维吾尔自治区,650000
澳门特别行政区,820000,1992,3041.705882,澳门特别行政区,820000
香港特别行政区,810000,1992,69580.30588,香港特别行政区,810000
大兴安岭地区,232700,1993,22535.87451,黑龙江省,230000
台湾省,710000,1993,547326.1333,台湾省,710000
安庆市,340800,1993,12030.21176,安徽省,340000
蚌埠市,340300,1993,13879.71373,安徽省,340000
亳州市,341600,1993,10503.92549,安徽省,340000
池州市,341700,1993,3692.615686,安徽省,340000
滁州市,341100,1993,19697.83529,安徽省,340000
阜阳市,341200,1993,16536.47059,安徽省,340000
合肥市,340100,1993,33482.96471,安徽省,340000
淮北市,340600,1993,14990.82745,安徽省,340000
淮南市,340400,1993,21065.64706,安徽省,340000
黄山市,341000,1993,3625,安徽省,340000
六安市,341500,1993,8800.890196,安徽省,340000
马鞍山市,340500,1993,19948.50588,安徽省,340000
宿州市,341300,1993,18168.10588,安徽省,340000
铜陵市,340700,1993,7938.266667,安徽省,340000
芜湖市,340200,1993,15171.64706,安徽省,340000
宣城市,341800,1993,11360.79608,安徽省,340000
福州市,350100,1993,41597.46275,福建省,350000
龙岩市,350800,1993,14716.15294,福建省,350000
南平市,350700,1993,12843.37647,福建省,350000
宁德市,350900,1993,9676.25098,福建省,350000
莆田市,350300,1993,14839.95686,福建省,350000
泉州市,350500,1993,47881.28235,福建省,350000
三明市,350400,1993,14893.06667,福建省,350000
厦门市,350200,1993,22678.88627,福建省,350000
漳州市,350600,1993,26161.87451,福建省,350000
白银市,620400,1993,21648.10196,甘肃省,620000
定西市,621100,1993,6713.658824,甘肃省,620000
嘉峪关市,620200,1993,4169.141176,甘肃省,620000
金昌市,620300,1993,6330.85098,甘肃省,620000
酒泉市,620900,1993,13028.16078,甘肃省,620000
兰州市,620100,1993,45175.06667,甘肃省,620000
陇南市,621200,1993,3221.580392,甘肃省,620000
