city,cityCode,year,viirsl,province,provinceCode
白沙黎族自治县,469025,2000,20.12905705,海南省,460000
保亭黎族苗族自治县,469029,2000,51.13701844,海南省,460000
昌江黎族自治县,469026,2000,220.7887688,海南省,460000
澄迈县,469023,2000,156.1223221,海南省,460000
定安县,469021,2000,107.4938387,海南省,460000
东方市,469007,2000,193.8323292,海南省,460000
乐东黎族自治县,469027,2000,69.0566783,海南省,460000
临高县,469024,2000,89.86884046,海南省,460000
陵水黎族自治县,469028,2000,96.55486917,海南省,460000
琼海市,469002,2000,437.9354601,海南省,460000
琼中黎族苗族自治县,469030,2000,19.34938657,海南省,460000
屯昌县,469022,2000,27.63595819,海南省,460000
万宁市,469006,2000,136.1561117,海南省,460000
文昌市,469005,2000,126.5917506,海南省,460000
五指山市,469001,2000,25.11156273,海南省,460000
济源市,419001,2000,815.2491268,河南省,410000
潜江市,429005,2000,350.8412732,湖北省,420000
神农架林区,429021,2000,9.888891697,湖北省,420000
天门市,429006,2000,223.0649551,湖北省,420000
仙桃市,429004,2000,191.2301748,湖北省,420000
北京市,110000,2000,188894.2518,北京市,110000
上海市,310000,2000,171679.3692,上海市,310000
天津市,120000,2000,89039.12285,天津市,120000
重庆市,500000,2000,10615.93688,重庆市,500000
阿拉善盟,152900,2000,1140.03032,内蒙古自治区,150000
锡林郭勒盟,152500,2000,3774.173051,内蒙古自治区,150000
兴安盟,152200,2000,2056.130797,内蒙古自治区,150000
阿里地区,542500,2000,48.84086788,西藏自治区,540000
阿克苏地区,652900,2000,8789.871348,新疆维吾尔自治区,650000
阿勒泰地区,654300,2000,1032.59701,新疆维吾尔自治区,650000
和田地区,653200,2000,504.7646351,新疆维吾尔自治区,650000
喀什地区,653100,2000,5712.802487,新疆维吾尔自治区,650000
塔城地区,654200,2000,3553.384914,新疆维吾尔自治区,650000
百色市,451000,2000,1158.121362,广西壮族自治区,450000
北海市,450500,2000,1827.443824,广西壮族自治区,450000
崇左市,451400,2000,450.5090212,广西壮族自治区,450000
防城港市,450600,2000,327.897166,广西壮族自治区,450000
贵港市,450800,2000,1144.31878,广西壮族自治区,450000
桂林市,450300,2000,2294.970574,广西壮族自治区,450000
河池市,451200,2000,960.7148086,广西壮族自治区,450000
贺州市,451100,2000,289.1991049,广西壮族自治区,450000
来宾市,451300,2000,711.9144425,广西壮族自治区,450000
柳州市,450200,2000,3241.863507,广西壮族自治区,450000
南宁市,450100,2000,7368.042514,广西壮族自治区,450000
钦州市,450700,2000,776.7231891,广西壮族自治区,450000
梧州市,450400,2000,829.3220019,广西壮族自治区,450000
玉林市,450900,2000,2192.811412,广西壮族自治区,450000
巴彦淖尔市,150800,2000,2356.624218,内蒙古自治区,150000
