city,cityCode,year,hviirs,province,provinceCode
广州市,440100,2014,304060.0902,广东省,440000
河源市,441600,2014,118894.9843,广东省,440000
惠州市,441300,2014,202747.1725,广东省,440000
江门市,440700,2014,165122.6627,广东省,440000
揭阳市,445200,2014,101287.7647,广东省,440000
茂名市,440900,2014,117469.102,广东省,440000
梅州市,441400,2014,126991.9412,广东省,440000
清远市,441800,2014,180313.5137,广东省,440000
汕头市,440500,2014,89401.63529,广东省,440000
汕尾市,441500,2014,64950.64706,广东省,440000
韶关市,440200,2014,126271.6627,广东省,440000
深圳市,440300,2014,141189.7412,广东省,440000
阳江市,441700,2014,86705.48627,广东省,440000
云浮市,445300,2014,75726.10196,广东省,440000
湛江市,440800,2014,155260.1608,广东省,440000
肇庆市,441200,2014,144062.4157,广东省,440000
中山市,442000,2014,103497.7216,广东省,440000
珠海市,440400,2014,79446.72549,广东省,440000
安顺市,520400,2014,91445.78039,贵州省,520000
毕节市,520500,2014,200157.7098,贵州省,520000
贵阳市,520100,2014,144753.6353,贵州省,520000
六盘水市,520200,2014,104351.898,贵州省,520000
铜仁市,520600,2014,122436.9451,贵州省,520000
遵义市,520300,2014,231213.9412,贵州省,520000
儋州市,460400,2014,42394.03137,海南省,460000
海口市,460100,2014,53841.45098,海南省,460000
三沙市,460300,2014,6316.843137,海南省,460000
三亚市,460200,2014,50061.79608,海南省,460000
保定市,130600,2014,289497.9373,河北省,130000
沧州市,130900,2014,246894.4706,河北省,130000
承德市,130800,2014,249292.6196,河北省,130000
邯郸市,130400,2014,211372.9569,河北省,130000
衡水市,131100,2014,118222.5882,河北省,130000
廊坊市,131000,2014,169419.7451,河北省,130000
秦皇岛市,130300,2014,120681.0824,河北省,130000
石家庄市,130100,2014,242472.302,河北省,130000
唐山市,130200,2014,362114.1451,河北省,130000
邢台市,130500,2014,166110.2431,河北省,130000
张家口市,130700,2014,265167.8745,河北省,130000
安阳市,410500,2014,117559.0078,河南省,410000
鹤壁市,410600,2014,38803.6,河南省,410000
焦作市,410800,2014,77515.08627,河南省,410000
开封市,410200,2014,91382.69804,河南省,410000
洛阳市,410300,2014,176234.3608,河南省,410000
漯河市,411100,2014,43230.09804,河南省,410000
南阳市,411300,2014,240561.8549,河南省,410000
平顶山市,410400,2014,120543.0784,河南省,410000
濮阳市,410900,2014,74535.93725,河南省,410000
三门峡市,411200,2014,82948.38824,河南省,410000
商丘市,411400,2014,153625.8588,河南省,410000
新乡市,410700,2014,141513.6078,河南省,410000
信阳市,411500,2014,147556.4941,河南省,410000
许昌市,411000,2014,86521.39608,河南省,410000
郑州市,410100,2014,227535.1529,河南省,410000
周口市,411600,2014,144232.2745,河南省,410000
驻马店市,411700,2014,162067.3216,河南省,410000
大庆市,230600,2014,186340.0157,黑龙江省,230000
哈尔滨市,230100,2014,252529.0824,黑龙江省,230000
鹤岗市,230400,2014,31443.01176,黑龙江省,230000
黑河市,231100,2014,54017.55294,黑龙江省,230000
鸡西市,230300,2014,51330.88235,黑龙江省,230000
佳木斯市,230800,2014,97570.56471,黑龙江省,230000
牡丹江市,231000,2014,158074.3804,黑龙江省,230000
七台河市,230900,2014,23887.12941,黑龙江省,230000
齐齐哈尔市,230200,2014,105815.4314,黑龙江省,230000
双鸭山市,230500,2014,57304.60784,黑龙江省,230000
绥化市,231200,2014,86657.46667,黑龙江省,230000
伊春市,230700,2014,36706.72549,黑龙江省,230000
鄂州市,420700,2014,29408.58431,湖北省,420000
黄冈市,421100,2014,141411.2392,湖北省,420000
黄石市,420200,2014,60688.67843,湖北省,420000
荆门市,420800,2014,82191.0549,湖北省,420000
荆州市,421000,2014,121694.8196,湖北省,420000
十堰市,420300,2014,96576.32549,湖北省,420000
随州市,421300,2014,69260.63529,湖北省,420000
武汉市,420100,2014,225871.4902,湖北省,420000
