region,regionCode,year,viirsl
海南省,460000,2017,104782.5601
河北省,130000,2017,615976.4643
河南省,410000,2017,611403.0854
黑龙江省,230000,2017,326555.7335
湖北省,420000,2017,348929.3858
湖南省,430000,2017,307542.4825
吉林省,220000,2017,262257.2859
江苏省,320000,2017,1481542.605
江西省,360000,2017,207393.781
辽宁省,210000,2017,519759.6389
青海省,630000,2017,68015.70655
山东省,370000,2017,950486.6983
山西省,140000,2017,383651.8977
陕西省,610000,2017,449836.4022
四川省,510000,2017,524172.6249
台湾省,710000,2017,731839.5899
云南省,530000,2017,327910.3462
浙江省,330000,2017,1010843.666
北京市,110000,2017,360677.6763
上海市,310000,2017,474556.4073
天津市,120000,2017,327986.0969
重庆市,500000,2017,211656.5976
广西壮族自治区,450000,2017,277984.4492
内蒙古自治区,150000,2017,338495.8805
宁夏回族自治区,640000,2017,143297.4388
西藏自治区,540000,2017,31585.18028
新疆维吾尔自治区,650000,2017,482890.3474
澳门特别行政区,820000,2017,6258.041856
香港特别行政区,810000,2017,73413.28147
安徽省,340000,2018,600454.6924
福建省,350000,2018,585305.5836
甘肃省,620000,2018,217326.3467
广东省,440000,2018,1397168.307
贵州省,520000,2018,304113.1166
海南省,460000,2018,110440.769
河北省,130000,2018,642799.1608
河南省,410000,2018,687839.6809
黑龙江省,230000,2018,341551.5449
湖北省,420000,2018,394009.2647
湖南省,430000,2018,347521.8554
吉林省,220000,2018,283592.7415
江苏省,320000,2018,1583367.547
江西省,360000,2018,244727.7627
辽宁省,210000,2018,574385.5972
青海省,630000,2018,78645.08481
山东省,370000,2018,1090047.569
山西省,140000,2018,407038.1131
陕西省,610000,2018,490851.4613
四川省,510000,2018,612014.8614
台湾省,710000,2018,735582.3986
云南省,530000,2018,372486.6494
浙江省,330000,2018,1058370.067
北京市,110000,2018,370565.8104
上海市,310000,2018,478131.1509
天津市,120000,2018,336439.1599
重庆市,500000,2018,244091.8806
广西壮族自治区,450000,2018,308892.4864
内蒙古自治区,150000,2018,351931.0344
宁夏回族自治区,640000,2018,148397.2079
西藏自治区,540000,2018,35889.93598
新疆维吾尔自治区,650000,2018,555848.045
澳门特别行政区,820000,2018,6010.461746
香港特别行政区,810000,2018,76936.43082
安徽省,340000,2019,666964.2111
福建省,350000,2019,597353.6301
甘肃省,620000,2019,217446.2964
广东省,440000,2019,1457713.592
贵州省,520000,2019,294001.3012
海南省,460000,2019,108370.8249
河北省,130000,2019,739941.9395
河南省,410000,2019,790224.2844
黑龙江省,230000,2019,348564.2602
湖北省,420000,2019,429057.0086
湖南省,430000,2019,367575.1173
吉林省,220000,2019,311175.1234
江苏省,320000,2019,1634544.947
江西省,360000,2019,263379.871
辽宁省,210000,2019,572172.3112
青海省,630000,2019,84984.06972
山东省,370000,2019,1164804.359
山西省,140000,2019,470702.2921
陕西省,610000,2019,520165.3955
四川省,510000,2019,668062.2216
台湾省,710000,2019,694949.2842
云南省,530000,2019,394233.1551
浙江省,330000,2019,1119712.569
北京市,110000,2019,426029.5383
上海市,310000,2019,480499.3947
天津市,120000,2019,341052.5677
重庆市,500000,2019,250787.846
广西壮族自治区,450000,2019,325218.2738
内蒙古自治区,150000,2019,387916.1634
宁夏回族自治区,640000,2019,144159.8307
西藏自治区,540000,2019,43475.72079
新疆维吾尔自治区,650000,2019,598778.6146
澳门特别行政区,820000,2019,4736.937663
香港特别行政区,810000,2019,70563.34423
安徽省,340000,2020,712144.5861
福建省,350000,2020,610948.9735
甘肃省,620000,2020,215611.2215
广东省,440000,2020,1595767.265
贵州省,520000,2020,266958.2392
海南省,460000,2020,115390.675
河北省,130000,2020,798097.4226
河南省,410000,2020,859561.5135
黑龙江省,230000,2020,319460.3698
湖北省,420000,2020,454720.4217
湖南省,430000,2020,357235.0227
吉林省,220000,2020,330860.1117
江苏省,320000,2020,1753008.579
江西省,360000,2020,290603.9755
辽宁省,210000,2020,570347.9337
青海省,630000,2020,92504.94449
山东省,370000,2020,1298149.056
山西省,140000,2020,500013.7724
陕西省,610000,2020,518453.3761
四川省,510000,2020,712735.3648
台湾省,710000,2020,701189.2715
云南省,530000,2020,387736.1138
浙江省,330000,2020,1219804.895
北京市,110000,2020,435888.4683
上海市,310000,2020,490709.0536
天津市,120000,2020,350006.8942
重庆市,500000,2020,268207.5679
广西壮族自治区,450000,2020,343475.8373
内蒙古自治区,150000,2020,381150.5207
宁夏回族自治区,640000,2020,147475.9815
西藏自治区,540000,2020,51187.63001
新疆维吾尔自治区,650000,2020,592034.4708
澳门特别行政区,820000,2020,4602.315313
香港特别行政区,810000,2020,72277.97856
安徽省,340000,2021,794397.8328
福建省,350000,2021,723607.8147
甘肃省,620000,2021,241616.8542
广东省,440000,2021,1962293.769
贵州省,520000,2021,287172.7952
海南省,460000,2021,150872.5801
河北省,130000,2021,873151.7027
河南省,410000,2021,983367.567
黑龙江省,230000,2021,336338.7296
湖北省,420000,2021,532308.0617
湖南省,430000,2021,387998.9123
吉林省,220000,2021,387526.0788
江苏省,320000,2021,1898738.731
江西省,360000,2021,355936.2691
辽宁省,210000,2021,605958.7078
青海省,630000,2021,109850.8701
山东省,370000,2021,1440924.531
山西省,140000,2021,543363.4296
陕西省,610000,2021,596635.48
四川省,510000,2021,774742.4162
台湾省,710000,2021,716398.068
云南省,530000,2021,426405.2619
浙江省,330000,2021,1385780.05
北京市,110000,2021,460772.0279
上海市,310000,2021,505978.5451
天津市,120000,2021,366348.5802
重庆市,500000,2021,300379.0645
广西壮族自治区,450000,2021,408031.5009
内蒙古自治区,150000,2021,386711.0418
宁夏回族自治区,640000,2021,166302.6973
西藏自治区,540000,2021,60881.24692
新疆维吾尔自治区,650000,2021,630789.8378
澳门特别行政区,820000,2021,5511.47894
香港特别行政区,810000,2021,77539.43369
安徽省,340000,2022,866726.0455
福建省,350000,2022,722418.5594
甘肃省,620000,2022,259633.3879
广东省,440000,2022,1977105.292
贵州省,520000,2022,257975.5043
海南省,460000,2022,160382.965
河北省,130000,2022,945579.975
河南省,410000,2022,1022396.78
黑龙江省,230000,2022,357479.861
湖北省,420000,2022,614747.3188
湖南省,430000,2022,415911.0355
吉林省,220000,2022,380391.5884
江苏省,320000,2022,1977456.75
江西省,360000,2022,373214.2254
辽宁省,210000,2022,610069.7256
青海省,630000,2022,106207.9874
山东省,370000,2022,1514119.566
山西省,140000,2022,597110.0829
陕西省,610000,2022,641723.847
四川省,510000,2022,832826.0982
台湾省,710000,2022,691047.9299
云南省,530000,2022,415822.453
浙江省,330000,2022,1450478.132
北京市,110000,2022,487134.4084
