SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,FixAst
2000,20407001,雅江县,甘孜藏族自治州,四川省,513325,0.49
2000,20407076,道孚县,甘孜藏族自治州,四川省,513326,0.45
2000,20407077,炉霍县,甘孜藏族自治州,四川省,513327,0.56
2000,20407078,甘孜县,甘孜藏族自治州,四川省,513328,0.57
2000,20407079,新龙县,甘孜藏族自治州,四川省,513329,0.62
2000,20407080,德格县,甘孜藏族自治州,四川省,513330,0.6
2000,20407081,白玉县,甘孜藏族自治州,四川省,513331,0.52
2000,20407082,石渠县,甘孜藏族自治州,四川省,513332,0.22
2000,20407083,色达县,甘孜藏族自治州,四川省,513333,0.3
2000,20407084,理塘县,甘孜藏族自治州,四川省,513334,0.4
2000,20407085,巴塘县,甘孜藏族自治州,四川省,513335,0.46
2000,20407086,乡城县,甘孜藏族自治州,四川省,513336,0.37
2000,20407087,稻城县,甘孜藏族自治州,四川省,513337,0.33
2000,20407088,得荣县,甘孜藏族自治州,四川省,513338,0.46
2000,20407090,西昌市,凉山彝族自治州,四川省,513401,14.82
2000,20407091,木里藏族自治县,凉山彝族自治州,四川省,513422,0.51
2000,20407092,盐源县,凉山彝族自治州,四川省,513423,1.51
2000,20407093,德昌县,凉山彝族自治州,四川省,513424,1.52
2000,20407094,会理县,凉山彝族自治州,四川省,513425,2.8
2000,20407095,会东县,凉山彝族自治州,四川省,513426,2.6
2000,20407096,宁南县,凉山彝族自治州,四川省,513427,0.98
2000,20407097,普格县,凉山彝族自治州,四川省,513428,0.55
2000,20407458,布拖县,凉山彝族自治州,四川省,513429,0.74
2000,20407459,金阳县,凉山彝族自治州,四川省,513430,0.7
2000,20407460,昭觉县,凉山彝族自治州,四川省,513431,0.69
2000,20407461,喜德县,凉山彝族自治州,四川省,513432,0.54
2000,20407462,冕宁县,凉山彝族自治州,四川省,513433,3.76
2000,20407463,越西县,凉山彝族自治州,四川省,513434,0.89
2000,20407464,甘洛县,凉山彝族自治州,四川省,513435,1.12
2000,20407465,美姑县,凉山彝族自治州,四川省,513436,0.6
2000,20407539,雷波县,凉山彝族自治州,四川省,513437,0.45
2000,20407543,南明区,贵阳市,贵州省,520102,2.03
2000,20407544,云岩区,贵阳市,贵州省,520103,2.62
2000,20407545,花溪区,贵阳市,贵州省,520111,1.3
2000,20407546,乌当区,贵阳市,贵州省,520112,4.25
2000,20407547,白云区,贵阳市,贵州省,520113,2.48
2000,20407548,小河区,贵阳市,贵州省,520114,3.05
2000,20407549,开阳县,贵阳市,贵州省,520121,1.83
2000,20407550,息烽县,贵阳市,贵州省,520122,1.94
2000,20407551,修文县,贵阳市,贵州省,520123,0.95
2000,20407552,清镇市,贵阳市,贵州省,520181,2.78
2000,20407554,钟山区,六盘水市,贵州省,520201,14.45
2000,20407555,六枝特区,六盘水市,贵州省,520203,1.57
2000,20407556,水城县,六盘水市,贵州省,520221,3.17
2000,20407557,盘县,六盘水市,贵州省,520222,11.35
2000,20407560,红花岗区,遵义市,贵州省,520302,17.71
2000,20407562,遵义县,遵义市,贵州省,520321,3.53
2000,20407563,桐梓县,遵义市,贵州省,520322,1.52
2000,20407638,绥阳县,遵义市,贵州省,520323,0.45
2000,20407639,正安县,遵义市,贵州省,520324,1.21
2000,20407640,道真仡佬族苗族自治县,遵义市,贵州省,520325,1.11
2000,20407641,务川仡佬族苗族自治县,遵义市,贵州省,520326,0.85
2000,20407642,凤冈县,遵义市,贵州省,520327,0.97
2000,20407643,湄潭县,遵义市,贵州省,520328,0.9
2000,20407644,余庆县,遵义市,贵州省,520329,1.13
2000,20407645,习水县,遵义市,贵州省,520330,7.1
2000,20407646,赤水市,遵义市,贵州省,520381,3.2
2000,20407647,仁怀市,遵义市,贵州省,520382,2.72
2000,20407650,西秀区,安顺市,贵州省,520402,6.85
2000,20407651,平坝县,安顺市,贵州省,520421,0.82
2000,20407652,普定县,安顺市,贵州省,520422,1.18
2000,20407653,镇宁布依族苗族自治县,安顺市,贵州省,520423,1.21
2000,20407654,关岭布依族苗族自治县,安顺市,贵州省,520424,0.86
2000,20407655,紫云苗族布依族自治县,安顺市,贵州省,520425,0.32
2000,20406712,江口县,铜仁地区,贵州省,522222,0.77
2000,20406713,玉屏侗族自治县,铜仁地区,贵州省,522223,1.13
2000,20406714,石阡县,铜仁地区,贵州省,522224,0.5
2000,20406715,思南县,铜仁地区,贵州省,522225,1.05
2000,20406716,印江土家族苗族自治县,铜仁地区,贵州省,522226,1.03
2000,20406717,德江县,铜仁地区,贵州省,522227,0.69
2000,20406718,沿河土家族自治县,铜仁地区,贵州省,522228,1.03
2000,20406719,松桃苗族自治县,铜仁地区,贵州省,522229,1.24
2000,20406711,万山特区,铜仁地区,贵州省,522230,0.4
2000,20406721,兴义市,黔西南布依族苗族自治州,贵州省,522301,6
2000,20406722,兴仁县,黔西南布依族苗族自治州,贵州省,522322,1.54
2000,20406723,普安县,黔西南布依族苗族自治州,贵州省,522323,1
2000,20406724,晴隆县,黔西南布依族苗族自治州,贵州省,522324,0.83
2000,20406725,贞丰县,黔西南布依族苗族自治州,贵州省,522325,0.49
2000,20406726,望谟县,黔西南布依族苗族自治州,贵州省,522326,0.4
2000,20406727,册亨县,黔西南布依族苗族自治州,贵州省,522327,0.45
2000,20406728,安龙县,黔西南布依族苗族自治州,贵州省,522328,1.39
2000,20407659,大方县,毕节地区,贵州省,522422,0.35
2000,20407660,黔西县,毕节地区,贵州省,522423,0.56
