SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,PopNum,Pop_Agr,Pop_NonAgr,ResdPop_Urban,ResdPop_Rural
2000,20407437,子洲县,榆林市,陕西省,610831,30.5,28.26,2.23,,
2000,20407440,汉滨区,安康市,陕西省,610902,93.12,74.92,18.2,,
2000,20407441,汉阴县,安康市,陕西省,610921,28.79,26.17,2.62,,
2000,20407614,石泉县,安康市,陕西省,610922,18.26,15.81,2.44,,
2000,20407615,宁陕县,安康市,陕西省,610923,7.37,6.04,1.32,,
2000,20407616,紫阳县,安康市,陕西省,610924,34.12,30.99,3.13,,
2000,20407617,岚皋县,安康市,陕西省,610925,16.71,14.88,1.83,,
2000,20407618,平利县,安康市,陕西省,610926,22.85,20.21,2.64,,
2000,20407619,镇坪县,安康市,陕西省,610927,5.74,5.08,0.66,,
2000,20407620,旬阳县,安康市,陕西省,610928,448.12,444.72,3.4,,
2000,20407621,白河县,安康市,陕西省,610929,20.67,18.95,1.72,,
2000,20407624,商州市,商洛地区,陕西省,612501,54.19,40.12,14.07,,
2000,20407625,洛南县,商洛地区,陕西省,612522,45,40.69,4.31,,
2000,20407626,丹凤县,商洛地区,陕西省,612523,29.27,27.12,2.15,,
2000,20407627,商南县,商洛地区,陕西省,612524,22.85,20.9,1.96,,
2000,20407628,山阳县,商洛地区,陕西省,612525,41.87,38.74,3.13,,
2000,20407629,镇安县,商洛地区,陕西省,612526,28.07,25.88,2.18,,
2000,20407630,柞水县,商洛地区,陕西省,612527,15.48,13.75,1.73,,
2000,20404956,黄浦区,上海市,上海市,310101,66.18,,,,
2000,20408016,卢湾区,上海市,上海市,310103,35.59,,,,
2000,20404957,徐汇区,上海市,上海市,310104,86.77,,,,
2000,20404958,长宁区,上海市,上海市,310105,60.49,,,,
2000,20404959,静安区,上海市,上海市,310106,35.8,,,,
2000,20404960,普陀区,上海市,上海市,310107,84.27,,,,
2000,20404961,闸北区,上海市,上海市,310108,70.83,,,,
2000,20404962,虹口区,上海市,上海市,310109,80.36,,,,
2000,20404963,杨浦区,上海市,上海市,310110,107.95,,,,
2000,20404967,浦东新区,上海市,上海市,310115,165.14,,,,
2000,20404964,闵行区,上海市,上海市,310112,65.4,,,,
2000,20404965,宝山区,上海市,上海市,310113,80.95,,,,
2000,20404966,嘉定区,上海市,上海市,310114,48.64,,,,
2000,20404968,金山区,上海市,上海市,310116,53.01,,,,
2000,20404969,松江区,上海市,上海市,310117,49.55,,,,
2000,20404970,青浦区,上海市,上海市,310118,45.89,,,,
2000,20408017,南汇县,上海市,上海市,310225,69.03,,,,
2000,20404971,奉贤县,上海市,上海市,310226,50.42,,,,
2000,20404973,崇明县,上海市,上海市,310230,65.36,,,,
2000,20404500,和平区,天津市,天津市,120101,44.91,0,44.91,,
2000,20404501,河东区,天津市,天津市,120102,64.35,0.07,64.28,,
2000,20404502,河西区,天津市,天津市,120103,70.37,0.42,69.95,,
2000,20404503,南开区,天津市,天津市,120104,77.29,1.07,76.22,,
2000,20404504,河北区,天津市,天津市,120105,61.11,0.04,61.07,,
2000,20404506,红桥区,天津市,天津市,120106,56.15,0.27,55.88,,
2000,20408018,塘沽区,天津市,天津市,120107,46.54,6.42,40.12,,
2000,20408019,汉沽区,天津市,天津市,120108,16.79,4.5,12.29,,
2000,20408020,大港区,天津市,天津市,120109,33.07,10.2,22.87,,
2000,20404717,东丽区,天津市,天津市,120110,30.41,19.65,10.76,,
2000,20404718,西青区,天津市,天津市,120111,30.64,22.75,7.89,,
2000,20404719,津南区,天津市,天津市,120112,36.65,27.78,8.87,,
2000,20404720,北辰区,天津市,天津市,120113,31.64,19.94,11.7,,
2000,20404721,武清区,天津市,天津市,120114,79.87,69.92,9.95,,
2000,20404722,宝坻县,天津市,天津市,120224,64.88,55.88,9,,
