Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Eect01,Eect02,Eect04
1992,林芝市,540400,地级市,540000,西藏自治区,13.3948,,
1992,山南市,540500,地级市,540000,西藏自治区,29.2977,,
1992,那曲地区,542400,地级市,540000,西藏自治区,31.1257,,
1992,阿里地区,542500,地级市,540000,西藏自治区,6.3523,,
1992,沙市区,421002,地级市,420000,湖北省,,,
1992,万州区,500101,地级市,500000,重庆市,,,
1993,北京市,110000,直辖市,110000,北京市,1051.2,668.72,625
1993,天津市,120000,直辖市,120000,天津市,885.89,499.98,785
1993,石家庄市,130100,地级市,130000,河北省,827.31,161.16,522
1993,唐山市,130200,地级市,130000,河北省,671.31,155.64,499
1993,秦皇岛市,130300,地级市,130000,河北省,254.71,53.75,339
1993,邯郸市,130400,地级市,130000,河北省,781.77,122.33,648
1993,邢台市,130500,地级市,130000,河北省,622.2,69.62,498
1993,保定市,130600,地级市,130000,河北省,173.02,56.26,962
1993,张家口市,130700,地级市,130000,河北省,430.94,90.84,117
1993,承德市,130800,地级市,130000,河北省,341.59,52.55,86
1993,沧州市,130900,地级市,130000,河北省,627.87,80.25,447
1993,廊坊市,131000,地级市,130000,河北省,325.05,43.36,548
1993,衡水市,131100,地级市,130000,河北省,34.99,,593
1993,太原市,140100,地级市,140000,山西省,271.353,171.96,388
1993,大同市,140200,地级市,140000,山西省,257.2565,99.2,182
1993,阳泉市,140300,地级市,140000,山西省,117.7786,46.28,265
1993,长治市,140400,地级市,140000,山西省,,,214
1993,晋城市,140500,地级市,140000,山西省,199.5703,28.02,210
1993,朔州市,140600,地级市,140000,山西省,125.7755,18.93,118
1993,运城市,140800,地级市,140000,山西省,443.662,54.68,416
1993,忻州市,140900,地级市,140000,山西省,277.7359,41.95,229
1993,临汾市,141000,地级市,140000,山西省,364.1242,63.27,472
1993,呼和浩特市,150100,地级市,150000,内蒙古自治区,142.1768,73.06,234
1993,包头市,150200,地级市,150000,内蒙古自治区,178.7595,109.67,179
1993,乌海市,150300,地级市,150000,内蒙古自治区,31.2002,27.94,133
