county,countyCode,year,hviirs,city,cityCode,province,provinceCode
仁寿县,511421,2013,24066.23922,眉山市,511400,四川省,510000
平武县,510727,2013,12675.15686,绵阳市,510700,四川省,510000
三台县,510722,2013,22835.62745,绵阳市,510700,四川省,510000
盐亭县,510723,2013,11414.7451,绵阳市,510700,四川省,510000
梓潼县,510725,2013,12056.30588,绵阳市,510700,四川省,510000
南部县,511321,2013,15962.73725,南充市,511300,四川省,510000
蓬安县,511323,2013,8141.513725,南充市,511300,四川省,510000
西充县,511325,2013,8959.713725,南充市,511300,四川省,510000
仪陇县,511324,2013,13264.80392,南充市,511300,四川省,510000
营山县,511322,2013,9923.317647,南充市,511300,四川省,510000
威远县,511024,2013,17760.23137,内江市,511000,四川省,510000
资中县,511025,2013,14344.79216,内江市,511000,四川省,510000
米易县,510421,2013,17869.78824,攀枝花市,510400,四川省,510000
盐边县,510422,2013,20362.07059,攀枝花市,510400,四川省,510000
大英县,510923,2013,9047.933333,遂宁市,510900,四川省,510000
蓬溪县,510921,2013,12109.57255,遂宁市,510900,四川省,510000
宝兴县,511827,2013,8218.447059,雅安市,511800,四川省,510000
汉源县,511823,2013,15510.8902,雅安市,511800,四川省,510000
芦山县,511826,2013,5430.831373,雅安市,511800,四川省,510000
石棉县,511824,2013,16573.6549,雅安市,511800,四川省,510000
天全县,511825,2013,6795.588235,雅安市,511800,四川省,510000
荥经县,511822,2013,7788.901961,雅安市,511800,四川省,510000
高县,511525,2013,9183.290196,宜宾市,511500,四川省,510000
珙县,511526,2013,8908.082353,宜宾市,511500,四川省,510000
江安县,511523,2013,6150.2,宜宾市,511500,四川省,510000
屏山县,511529,2013,8675.447059,宜宾市,511500,四川省,510000
兴文县,511528,2013,9192.87451,宜宾市,511500,四川省,510000
筠连县,511527,2013,7889.086275,宜宾市,511500,四川省,510000
长宁县,511524,2013,7040.992157,宜宾市,511500,四川省,510000
安岳县,512021,2013,26213.64706,资阳市,512000,四川省,510000
乐至县,512022,2013,13618.12157,资阳市,512000,四川省,510000
富顺县,510322,2013,12232.12941,自贡市,510300,四川省,510000
荣县,510321,2013,12098.98824,自贡市,510300,四川省,510000
崇州市,510184,2013,18520.58431,成都市,510100,四川省,510000
都江堰市,510181,2013,20181.52549,成都市,510100,四川省,510000
简阳市,510185,2013,23279.8,成都市,510100,四川省,510000
彭州市,510182,2013,23177.67059,成都市,510100,四川省,510000
邛崃市,510183,2013,17109.0902,成都市,510100,四川省,510000
万源市,511781,2013,12218.76471,达州市,511700,四川省,510000
广汉市,510681,2013,17387.6,德阳市,510600,四川省,510000
绵竹市,510683,2013,15910.67059,德阳市,510600,四川省,510000
什邡市,510682,2013,12037.35686,德阳市,510600,四川省,510000
华蓥市,511681,2013,5941.137255,广安市,511600,四川省,510000
峨眉山市,511181,2013,16726.28235,乐山市,511100,四川省,510000
江油市,510781,2013,25361.67451,绵阳市,510700,四川省,510000
阆中市,511381,2013,18003.64314,南充市,511300,四川省,510000
隆昌市,511083,2013,10541.12549,内江市,511000,四川省,510000
射洪市,510981,2013,15524.59216,遂宁市,510900,四川省,510000
巴州区,511902,2013,13969.0549,巴中市,511900,四川省,510000
恩阳区,511903,2013,6872.231373,巴中市,511900,四川省,510000
成华区,510108,2013,8885.27451,成都市,510100,四川省,510000
金牛区,510106,2013,9126.254902,成都市,510100,四川省,510000
锦江区,510104,2013,5132.909804,成都市,510100,四川省,510000
龙泉驿区,510112,2013,26540.43922,成都市,510100,四川省,510000
郫都区,510117,2013,23362.32157,成都市,510100,四川省,510000
青白江区,510113,2013,14682.6902,成都市,510100,四川省,510000
青羊区,510105,2013,5485.87451,成都市,510100,四川省,510000
双流区,510116,2013,49872.52941,成都市,510100,四川省,510000
温江区,510115,2013,14450.47059,成都市,510100,四川省,510000
武侯区,510107,2013,10824.5098,成都市,510100,四川省,510000
新都区,510114,2013,28149.94902,成都市,510100,四川省,510000
新津区,510118,2013,13504.87059,成都市,510100,四川省,510000
达川区,511703,2013,20158.05098,达州市,511700,四川省,510000
通川区,511702,2013,9761.819608,达州市,511700,四川省,510000
旌阳区,510603,2013,19370.33725,德阳市,510600,四川省,510000
罗江区,510604,2013,6434.996078,德阳市,510600,四川省,510000
广安区,511602,2013,11429.01569,广安市,511600,四川省,510000
前锋区,511603,2013,8157.741176,广安市,511600,四川省,510000
朝天区,510812,2013,8204.682353,广元市,510800,四川省,510000
利州区,510802,2013,20411.0549,广元市,510800,四川省,510000
昭化区,510811,2013,9769.54902,广元市,510800,四川省,510000
金口河区,511113,2013,3832.615686,乐山市,511100,四川省,510000
沙湾区,511111,2013,7046.133333,乐山市,511100,四川省,510000
市中区,511102,2013,16144.07451,乐山市,511100,四川省,510000
五通桥区,511112,2013,7801.509804,乐山市,511100,四川省,510000
江阳区,510502,2013,12120.19608,泸州市,510500,四川省,510000
龙马潭区,510504,2013,6796.321569,泸州市,510500,四川省,510000
纳溪区,510503,2013,8660.14902,泸州市,510500,四川省,510000
东坡区,511402,2013,19578.3098,眉山市,511400,四川省,510000
彭山区,511403,2013,9039.643137,眉山市,511400,四川省,510000
安州区,510705,2013,12416.00784,绵阳市,510700,四川省,510000
涪城区,510703,2013,20302.84314,绵阳市,510700,四川省,510000
游仙区,510704,2013,14419.34118,绵阳市,510700,四川省,510000
高坪区,511303,2013,13876.61569,南充市,511300,四川省,510000
嘉陵区,511304,2013,11804.47059,南充市,511300,四川省,510000
顺庆区,511302,2013,9334.603922,南充市,511300,四川省,510000
东兴区,511011,2013,12760.85098,内江市,511000,四川省,510000
市中区,511002,2013,7335.235294,内江市,511000,四川省,510000
东区,510402,2013,8267.392157,攀枝花市,510400,四川省,510000
仁和区,510411,2013,25697.36078,攀枝花市,510400,四川省,510000
西区,510403,2013,5252.654902,攀枝花市,510400,四川省,510000
安居区,510904,2013,12094.39216,遂宁市,510900,四川省,510000
船山区,510903,2013,14736.64706,遂宁市,510900,四川省,510000
名山区,511803,2013,5917.266667,雅安市,511800,四川省,510000
雨城区,511802,2013,10044.44314,雅安市,511800,四川省,510000
翠屏区,511502,2013,17368.77255,宜宾市,511500,四川省,510000
