id,county,perreggdp2000,perreggdp2001,perreggdp2002,perreggdp2003,perreggdp2004,perreggdp2005,perreggdp2006,perreggdp2007,perreggdp2008,perreggdp2009,perreggdp2010,perreggdp2011,perreggdp2012,perreggdp2013,perreggdp2014,perreggdp2015,perreggdp2016,perreggdp2017,perreggdp2018,perreggdp2019,perreggdp2020,perreggdp2021,perreggdp2022
150423,巴林右旗,.28,.31,.33000001,.41999999,.56999999,.68000001,.86000001,1.15,1.51,1.9,2.26,3,3.51,3.8699999,4.1599998,4.48,4.8200002,,,,,,
150424,林西县,.38,.41999999,.46000001,.55000001,.55000001,.61000001,.73000002,.98000002,1.14,1.37,1.5599999,2.3699999,2.9100001,3.3099999,3.55,3.8499999,4.1999998,,,,,,
150425,克什克腾旗,.25,.28,.33000001,.38999999,.61000001,.76999998,1.05,1.7,2.28,2.8800001,3.46,5.0900002,6.0999999,6.6399999,6.9899998,7.3699999,7.9299998,,,,,,
150426,翁牛特旗,.28999999,.31,.36000001,.44,.51999998,.63,.77999997,1.01,1.25,1.45,1.66,2.3299999,2.79,3.0999999,3.3099999,3.46,3.6900001,,,,,,
150428,喀喇沁旗,.19,.2,.23999999,.28999999,.36000001,.44,.61000001,1.09,1.51,1.77,1.8,2.71,2.3099999,2.27,2.3900001,2.54,2.74,,,,,,
150429,宁城县,.31999999,.36000001,.38,.46000001,.41999999,.51999998,.60000002,.85000002,1.11,1.3,1.51,2.0999999,2.54,2.8,2.99,3.1600001,3.4400001,,,,,,
150430,敖汉旗,.25,.28,.31999999,.38999999,.44999999,.51999998,.66000003,.88,1.14,1.3200001,1.53,2.1400001,2.55,2.8199999,2.9400001,3.0899999,3.3399999,,,,,,
150502,科尔沁区,.73000002,.82999998,.95999998,1.1799999,1.3200001,1.59,1.92,2.6500001,3.51,4.1999998,15.21,5.8000002,6.3800001,22.01,23.309999,7.48,7.8899999,,,,,,
150521,科尔沁左翼中旗,.25,.30000001,.34999999,.43000001,.50999999,.62,.75,1,1.3,1.6,1.88,2.27,2.5999999,2.79,2.99,3.1700001,3.4200001,,,,,,
150522,科尔沁左翼后旗,.44999999,.52999997,.64999998,.77999997,.75999999,.95999998,1.1799999,1.4299999,1.75,1.89,2.25,2.99,3.51,3.9000001,4.1700001,4.3699999,4.5999999,,,,,,
150523,开鲁县,.5,.56999999,.67000002,.80000001,.80000001,.94,1.16,1.5599999,2.01,2.4300001,3.0699999,3.8699999,4.5700002,4.8899999,5.2399998,5.4699998,5.6799998,,,,,,
150524,库伦旗,.30000001,.34999999,.41,.47999999,.57999998,.69,.82999998,1.17,1.74,2,2.4400001,2.97,3.45,3.71,4.0100002,4.21,4.4200001,,,,,,
150525,奈曼旗,.37,.41999999,.49000001,.57999998,.50999999,.62,.76999998,1.05,1.45,1.77,2.0899999,2.55,3,3.3900001,3.6900001,3.78,3.8900001,,,,,,
150526,扎鲁特旗,.49000001,.54000002,.63,.75,.69,.87,1.13,1.62,2.4000001,2.79,3.5899999,4.3800001,5.3099999,6.4699998,6.9000001,7.27,7.5999999,,,,,,
150581,霍林郭勒市,1.09,1.21,1.4,1.8099999,2.51,3.6700001,6.8400002,10.53,16.610001,18.309999,24.040001,28.98,36.369999,24.129999,25.6,27.02,28.559999,,,,,,
150602,东胜区,,2.01,2.3900001,2.8299999,4.1599998,5.5599999,5.2399998,7.5700002,9.54,11.75,0,12.86,14.13,14.57,15.35,15.18,18.59,,,,,,
150603,康巴什区,,,,,,,,,,,,,,,,,5.4699998,,,,,,
150621,达拉特旗,,1.09,1.27,1.45,1.92,2.6600001,3.3,4.6399999,7.3899999,7.8499999,0,10.95,13.75,14.59,14.97,14.23,14.78,,,,,,
150622,准格尔旗,,1.1900001,1.47,2.0999999,3.4000001,4.8200002,6.7600002,9.9300003,12.8,16.75,0,23.059999,27.110001,28.549999,29.879999,29.799999,30.700001,,,,,,
150623,鄂托克前旗,,1.02,1.14,1.47,1.53,2.02,2.4400001,3.3900001,4.3800001,5.3499999,0,8.9499998,13.48,17.040001,18.059999,18.139999,19.190001,,,,,,
150624,鄂托克旗,,1.64,1.91,2.76,4.1300001,5.79,6.5599999,9.0100002,12.45,17.610001,0,21.030001,24.32,27.24,28.790001,27.17,28.209999,,,,,,
150625,杭锦旗,,.82999998,.94,1.08,1.35,1.72,2.1300001,2.1600001,3.05,4.1500001,0,5.2399998,6.27,6.8699999,7.4499998,7.9099998,8.8599997,,,,,,
150626,乌审旗,,1.13,1.29,1.5700001,1.86,3.03,4.4899998,7.29,10.82,15.47,0,18.290001,23.530001,28.52,30.08,29.799999,31,,,,,,
150627,伊金霍洛旗,,1.28,1.59,2.71,4.8000002,6.25,8.5500002,12.62,18.18,24.1,0,24.309999,26.879999,27.139999,14.87,29.48,32.900002,,,,,,
150702,海拉尔区,,.94,1.04,1.16,1.38,1.77,2.3,3.02,3.98,4.8800001,6.0100002,7.29,8.5699997,9.1599998,9.8100004,10.25,10.78,,,,,,
150703,扎赉诺尔区,,,,,,,,,,,,,,6.0999999,6.7399998,7.1599998,7.79,,,,,,
150721,阿荣旗,,.38,.44999999,.37,.67000002,.86000001,1.12,1.34,1.87,2.28,2.73,3.3199999,3.9100001,4.4000001,4.7399998,4.9000001,5.1300001,,,,,,
150722,莫力达瓦达斡尔族自治旗,,.41,.58999997,.55000001,.85000002,.87,.92000002,1.05,1.39,1.6799999,1.99,2.3599999,2.74,2.9400001,3.1500001,3.24,3.3399999,,,,,,
150723,鄂伦春自治旗,,.31999999,.36000001,.31,.5,.61000001,.64999998,.70999998,.87,1.1,1.36,1.66,1.98,2.23,2.4400001,2.5799999,2.73,,,,,,
150724,鄂温克族自治旗,,.83999997,1.05,1.28,1.6,1.91,2.2,2.3299999,3.02,3.72,4.5100002,5.5500002,6.4400001,7.1100001,7.6100001,7.8899999,8.29,,,,,,
150725,陈巴尔虎旗,,.94999999,1.1,1.22,1.63,2.76,3.1300001,3.8800001,5.21,6.77,8.9200001,11,13.3,14.26,15.16,15.75,16.66,,,,,,
150726,新巴尔虎左旗,,1.03,1.21,1.45,1.75,2.0799999,2.4200001,3.01,3.6400001,4.4499998,5.4099998,6.4499998,7.6300001,7.73,8.1700001,,6.8200002,,,,,,
150727,新巴尔虎右旗,,.95999998,1.17,1.46,2.55,3.3299999,5.8200002,8.5100002,9.7700005,10.95,13.28,16.25,18.85,20.68,21.780001,22.09,23.040001,,,,,,
150781,满洲里市,,1.15,1.3200001,1.39,2.21,3,3.2,3.6199999,4.3400002,4.8000002,5.0900002,6.1599998,7.04,7.8000002,8.5,9.0299997,9.7399998,,,,,,
150782,牙克石市,,.44999999,.50999999,.57999998,.70999998,.88,1.0700001,1.38,1.83,2.3900001,3.1400001,4.1599998,5.2800002,6.02,6.5100002,6.73,6.8200002,,,,,,
