countycode,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,id,county,city,citycode,province,provincecode
130203,9.6956339,9.7260695,9.8529243,9.9263821,10.159329,10.360339,10.528742,10.726706,10.834796,10.959702,11.169081,11.323657,11.360229,11.427491,11.478649,11.534427,11.575016,11.622186,11.682947,11.749418,11.849324,56,路北区,唐山市,130200,河北省,130000
130204,9.3757515,9.4453793,9.5758009,9.8621626,9.9844036,10.120158,10.284704,10.448313,10.638801,10.786193,10.970226,11.109924,11.192355,11.248271,11.288028,11.334295,11.378724,11.421103,11.478813,11.538046,11.633874,57,古冶区,唐山市,130200,河北省,130000
130205,9.4649944,9.5078974,9.6908092,9.8204689,10.003218,10.150419,10.362803,10.526752,10.674534,10.79994,11.004375,11.127151,11.183844,11.250896,11.301408,11.348993,11.401656,11.443293,11.50556,11.571142,11.673472,58,开平区,唐山市,130200,河北省,130000
130207,9.2670946,9.3208303,9.471879,9.6487103,9.8155203,9.991684,10.167086,10.347716,10.498454,10.633094,10.847393,10.97302,11.067554,11.130959,11.173227,11.228458,11.292081,11.341318,11.405563,11.471379,11.571527,59,丰南区,唐山市,130200,河北省,130000
130208,9.289752,9.3376513,9.4964695,9.637763,9.8397913,10.008806,10.188231,10.37372,10.520239,10.685426,10.878674,11.031931,11.091233,11.150933,11.196446,11.242723,11.300714,11.345824,11.411779,11.481524,11.587242,60,丰润区,唐山市,130200,河北省,130000
130209,9.1423254,9.1012383,9.2217922,9.4881296,9.6572714,9.8838921,10.056105,10.245343,10.460204,10.535754,10.729644,10.870777,10.995368,11.06916,11.133621,11.184859,11.256177,11.292532,11.411668,11.477283,11.575544,61,曹妃甸区,唐山市,130200,河北省,130000
130224,9.1047001,9.1944084,9.3336926,9.4315634,9.6178265,9.7977962,10.056832,10.199999,10.375118,10.465104,10.664536,10.814035,10.938807,11.022443,11.060397,11.103488,11.176444,11.21841,11.303301,11.375074,11.475659,62,滦南县,唐山市,130200,河北省,130000
130225,9.166523,9.250514,9.3411179,9.5481014,9.76441,9.9850626,10.147895,10.320872,10.448878,10.573827,10.830832,10.981875,11.02366,11.112276,11.178129,11.215444,11.26194,11.306443,11.363542,11.442788,11.554981,63,乐亭县,唐山市,130200,河北省,130000
130227,9.1141796,9.1551218,9.3333454,9.4813786,9.6676941,9.7619448,9.98773,10.160707,10.374048,10.519841,10.719434,10.846796,10.931362,10.984356,11.008201,11.035724,11.106805,11.159594,11.251734,11.309276,11.409812,64,迁西县,唐山市,130200,河北省,130000
130229,9.1617689,9.1957235,9.3233099,9.5196877,9.6736622,9.7777872,9.9906263,10.191709,10.382003,10.549047,10.762056,10.868715,10.956079,11.049124,11.131418,11.177944,11.242907,11.28215,11.365436,11.43224,11.548719,65,玉田县,唐山市,130200,河北省,130000
130281,9.1589642,9.2760534,9.4109373,9.5564775,9.7802572,9.9168825,10.125504,10.327435,10.440514,10.546073,10.78791,10.908721,10.984371,11.01335,11.03914,11.078726,11.159247,11.215119,11.297976,11.363795,11.46278,66,遵化市,唐山市,130200,河北省,130000
130283,9.2376385,9.2969961,9.5048733,9.7104778,9.9067116,10.085112,10.271654,10.441267,10.587876,10.702998,10.925205,11.092577,11.121181,11.176806,11.215467,11.247853,11.296172,11.340888,11.410046,11.477189,11.580251,67,迁安市,唐山市,130200,河北省,130000
130284,9.1290741,9.2489414,9.3952103,9.6257792,9.7909279,9.9383659,10.139527,10.258192,10.476967,10.610597,10.800514,10.948372,11.046834,11.113604,11.157244,11.221762,11.27152,11.317592,11.381415,11.453414,11.557614,68,滦州市,唐山市,130200,河北省,130000
130302,8.8859415,8.9243279,9.0757589,9.2065239,9.3847799,9.5996714,9.7644768,9.9544144,10.071489,10.185967,10.42207,10.560684,10.557183,10.618546,10.669889,10.717675,10.777311,10.829947,10.883042,10.938668,11.039663,69,海港区,秦皇岛市,130300,河北省,130000
130303,8.7857819,8.834796,8.9997978,9.1719856,9.3582983,9.5241404,9.6895695,9.9299517,10.067386,10.200164,10.403563,10.51846,10.554818,10.613268,10.665343,10.712328,10.774315,10.826054,10.888697,10.947223,11.045031,70,山海关区,秦皇岛市,130300,河北省,130000
130304,8.7382593,8.8137693,9.0020485,9.1715698,9.3533716,9.5075159,9.6829109,9.8675032,9.9976654,10.172801,10.366827,10.49433,10.541796,10.597821,10.658342,10.706412,10.780589,10.837667,10.902952,10.965669,11.063808,71,北戴河区,秦皇岛市,130300,河北省,130000
130306,8.4930992,8.5593719,8.6666641,8.9212208,9.007431,9.1788073,9.3667612,9.5833035,9.750948,9.8804302,10.129369,10.224797,10.339832,10.40148,10.453634,10.510845,10.59416,10.647559,10.71448,10.769301,10.886142,72,抚宁区,秦皇岛市,130300,河北省,130000
130321,8.2322674,8.2516699,8.430685,8.6101208,8.7587557,8.931715,9.1380491,9.3614044,9.5752516,9.7212276,9.9827881,10.103477,10.164333,10.216339,10.242682,10.26802,10.348071,10.402591,10.460276,10.521772,10.628082,73,青龙满族自治县,秦皇岛市,130300,河北省,130000
130322,8.4420071,8.5863743,8.6917667,8.8934708,9.0425615,9.2035742,9.4302931,9.5940962,9.7991056,9.8915911,10.118693,10.253812,10.356772,10.427201,10.475189,10.529143,10.59656,10.647548,10.714561,10.789701,10.909726,74,昌黎县,秦皇岛市,130300,河北省,130000
130324,8.2663755,8.3612928,8.5686035,8.7307053,8.8835497,9.0740995,9.3454227,9.5688362,9.6853008,9.8240929,10.097384,10.231874,10.278611,10.31548,10.354817,10.400945,10.492987,10.562681,10.610372,10.686426,10.798259,75,卢龙县,秦皇岛市,130300,河北省,130000
130402,8.7222414,8.808341,8.8988047,9.0751724,9.2598896,9.4300385,9.6049843,9.8369131,9.9715776,10.091554,10.294041,10.416559,10.46652,10.540059,10.5862,10.633582,10.697036,10.748633,10.830082,10.89578,10.983577,76,邯山区,邯郸市,130400,河北省,130000
130403,8.7822084,8.8369989,8.9574499,9.0768547,9.2998457,9.4888458,9.6636992,9.8716011,9.9697418,10.069357,10.301194,10.45122,10.495883,10.56665,10.612977,10.656338,10.717062,10.778193,10.846452,10.920555,11.012765,77,丛台区,邯郸市,130400,河北省,130000
130404,8.828557,8.8945122,9.0207291,9.1582699,9.323472,9.5351753,9.7045012,9.9054184,9.9718552,10.115134,10.3158,10.477715,10.527011,10.58265,10.617973,10.654058,10.699744,10.750401,10.821095,10.895536,10.993423,78,复兴区,邯郸市,130400,河北省,130000
130406,8.7036915,8.7921019,8.8735123,9.0941906,9.2758799,9.4139748,9.5792971,9.7473269,9.8755722,10.025826,10.254579,10.407447,10.445614,10.501728,10.53298,10.5744,10.623848,10.691932,10.766644,10.828183,10.924636,79,峰峰矿区,邯郸市,130400,河北省,130000
130407,8.3971767,8.4979496,8.5184526,8.8130207,8.9701242,9.1348543,9.3046141,9.4343014,9.7020626,9.8727274,10.050955,10.177691,10.247678,10.393709,10.463812,10.499388,10.547622,10.632781,10.713955,10.780389,10.868891,80,肥乡区,邯郸市,130400,河北省,130000
130408,8.556839,8.6252308,8.734395,8.9412212,9.0997238,9.3035479,9.4627876,9.6846771,9.7953329,9.9498692,10.157666,10.290592,10.345934,10.413187,10.45343,10.497683,10.569692,10.627221,10.697412,10.767215,10.866267,81,永年区,邯郸市,130400,河北省,130000
130423,8.3259106,8.4369059,8.4970722,8.7025204,8.8668423,9.0311518,9.2304335,9.4263725,9.625597,9.7996445,10.026834,10.10525,10.16167,10.244043,10.285722,10.322553,10.419716,10.468336,10.564125,10.65344,10.768519,82,临漳县,邯郸市,130400,河北省,130000
130424,8.4084721,8.5039654,8.6202011,8.8229589,9.0110445,9.1642427,9.3555794,9.524395,9.6970997,9.8781347,10.143387,10.183411,10.279995,10.351788,10.428177,10.461089,10.532816,10.60303,10.684758,10.769955,10.859498,83,成安县,邯郸市,130400,河北省,130000
