id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,regionid
82,11.920492,11.954904,12.071574,12.148684,12.352327,12.51173,12.677318,12.875158,13.064217,13.246087,13.453481,13.65538,13.748097,13.822564,13.900363,13.94672,13.989878,14.084291,14.153779,14.236359,14.284588,130423
83,11.910297,11.98008,12.085908,12.202306,12.404194,12.580279,12.73807,12.930349,13.100318,13.263552,13.475871,13.704612,13.770251,13.873032,13.943377,14.014204,14.054595,14.13109,14.215807,14.288404,14.333733,130424
84,11.939704,11.987463,12.085551,12.181642,12.396215,12.485272,12.796032,12.907226,13.035572,13.237463,13.415808,13.673525,13.773687,13.870646,13.931622,13.971921,14.014128,14.104195,14.185065,14.244822,14.280574,130425
85,12.106866,12.12341,12.226831,12.339168,12.551698,12.715097,12.902961,13.074337,13.289249,13.400341,13.571103,13.761077,13.892406,13.976173,14.045429,14.073299,14.108619,14.166929,14.236057,14.289736,14.328322,130426
86,12.022087,12.054503,12.202329,12.317516,12.496481,12.692251,12.867248,13.014366,13.185787,13.343364,13.514704,13.717992,13.843651,13.915561,13.987808,14.031301,14.05641,14.134845,14.205879,14.278924,14.318995,130427
87,11.970737,12.025313,12.131137,12.174813,12.393689,12.526973,12.662194,12.892524,13.066588,13.178939,13.355995,13.555945,13.709373,13.802552,13.871522,13.913131,13.953688,14.04608,14.121068,14.181386,14.218419,130430
88,11.89227,11.969302,12.09657,12.162697,12.371121,12.501245,12.681981,12.848212,13.00806,13.174957,13.393358,13.572165,13.688755,13.799534,13.875622,13.921226,13.986726,14.055853,14.144806,14.224235,14.270388,130431
89,11.989986,12.024796,12.127808,12.190687,12.422318,12.562977,12.706915,12.850486,13.040805,13.192289,13.412277,13.631759,13.738604,13.802172,13.897613,13.948713,13.992258,14.074088,14.155983,14.228007,14.257224,130432
90,12.008155,12.042347,12.138629,12.214612,12.413088,12.578777,12.704341,12.896975,13.113422,13.278502,13.42345,13.637861,13.72301,13.808399,13.87646,13.937409,13.993474,14.065786,14.143451,14.211999,14.249657,130433
91,11.952137,12.079904,12.202789,12.304179,12.466265,12.622191,12.74368,12.922139,13.135291,13.274722,13.494381,13.683726,13.78652,13.83743,13.917747,13.979335,14.026063,14.136751,14.22176,14.285483,14.328161,130434
92,11.948468,12.008513,12.098446,12.207445,12.402906,12.564373,12.722127,12.899555,13.072877,13.231191,13.425686,13.667285,13.734383,13.836116,13.897671,13.945023,13.992959,14.068889,14.146315,14.212596,14.266398,130435
93,12.19778,12.240691,12.337979,12.415369,12.635597,12.813563,12.969353,13.141479,13.340014,13.455619,13.616246,13.820971,13.96557,14.050712,14.119775,14.154772,14.199903,14.25383,14.318988,14.379008,14.419339,130481
94,12.128118,12.215599,12.291008,12.39245,12.567037,12.754393,12.940421,13.102365,13.295057,13.419741,13.606196,13.803731,13.940264,13.98968,14.062258,14.117616,14.173737,14.236305,14.319735,14.386128,14.418927,130502
95,12.172858,12.218676,12.298097,12.404565,12.580783,12.767471,12.933876,13.093552,13.293785,13.378662,13.590291,13.747975,13.930086,13.991045,14.059656,14.112204,14.166793,14.233869,14.315234,14.380425,14.411666,130503
96,11.810352,11.904199,12.087665,12.22248,12.382854,12.532653,12.673488,12.895741,13.044839,13.215275,13.41312,13.629705,13.770693,13.815485,13.879975,13.921162,13.997901,14.08513,14.175681,14.286145,14.333613,130505
97,11.815022,11.908533,12.027298,12.180988,12.439711,12.502943,12.685442,12.839643,13.058748,13.219196,13.430242,13.646487,13.801587,13.848558,13.93908,13.982472,14.06094,14.139692,14.221118,14.318884,14.342297,130506
98,11.853733,11.926666,12.080863,12.186703,12.372032,12.515633,12.658127,12.863967,13.029638,13.140608,13.368943,13.605435,13.818612,13.870806,13.931787,13.955416,14.006427,14.080248,14.165803,14.223634,14.268546,130522
99,11.969593,12.044289,12.136108,12.237288,12.456699,12.638216,12.756012,12.957504,13.128539,13.275831,13.479535,13.667988,13.837406,13.886642,13.940004,13.961679,14.011914,14.075845,14.159099,14.226201,14.265018,130523
100,11.920137,11.913413,12.0329,12.109384,12.355288,12.433373,12.573223,12.72299,12.920962,13.097524,13.320739,13.532474,13.645791,13.710953,13.821078,13.86221,13.91841,13.990405,14.083903,14.163176,14.207554,130524
101,11.994607,12.0361,12.155844,12.263568,12.466274,12.614889,12.7927,12.961465,13.154366,13.311064,13.480284,13.670598,13.792124,13.847643,13.936549,13.983462,14.029679,14.117635,14.189698,14.264659,14.312641,130525
102,11.979452,12.030697,12.126542,12.266622,12.491827,12.633338,12.790873,12.977464,13.151834,13.305179,13.513601,13.725431,13.830854,13.904264,13.987247,14.043663,14.096395,14.182532,14.258709,14.339994,14.373679,130528
103,11.895448,11.972868,12.076272,12.212769,12.373282,12.535511,12.677249,12.87638,13.036272,13.217717,13.411595,13.584085,13.741406,13.799623,13.878045,13.929592,14.015059,14.090125,14.16172,14.247088,14.293307,130529
104,11.90184,11.89327,12.050189,12.201426,12.394553,12.52643,12.675667,12.884937,12.992132,13.187094,13.391714,13.634103,13.734155,13.783604,13.845661,13.91455,13.952784,14.041435,14.110845,14.186297,14.247275,130530
105,11.787713,11.951898,12.046817,12.148599,12.306895,12.485218,12.617641,12.80368,13.009666,13.17777,13.363862,13.542137,13.674393,13.777459,13.833688,13.919825,13.97246,14.067448,14.151128,14.218179,14.268036,130531
106,11.915712,11.992612,12.103257,12.186081,12.390753,12.546588,12.753771,12.910872,13.060356,13.234908,13.373697,13.576437,13.742828,13.798412,13.883474,13.949305,14.024896,14.126401,14.212706,14.288975,14.327419,130532
107,11.875875,11.932837,12.084962,12.218748,12.365429,12.555239,12.707323,12.852838,13.057494,13.265187,13.375814,13.671966,13.763699,13.830283,13.901779,13.964024,14.022367,14.118675,14.190492,14.260649,14.295496,130533
108,11.997928,12.113187,12.231913,12.331026,12.533785,12.678054,12.820371,13.024069,13.215882,13.349552,13.521919,13.745144,13.821116,13.891495,13.96385,14.016432,14.103993,14.186968,14.248543,14.315793,14.346709,130534
109,11.968587,12.048698,12.114601,12.247768,12.395187,12.568285,12.755429,12.916424,13.092312,13.274559,13.416756,13.612783,13.753856,13.80044,13.874769,13.924751,13.988222,14.09155,14.158903,14.222899,14.251617,130535
110,11.938266,12.053771,12.115142,12.217778,12.39313,12.49884,12.719704,12.961761,13.127319,13.305443,13.475462,13.694368,13.803032,13.869108,13.92529,13.974803,14.032826,14.119694,14.185523,14.290236,14.337835,130581
111,12.085199,12.154498,12.252928,12.330286,12.554258,12.71043,12.869383,13.036562,13.242735,13.351323,13.560731,13.774404,13.922689,13.975648,14.044032,14.089098,14.128449,14.198192,14.275728,14.342629,14.365283,130582
112,12.20036,12.274616,12.340167,12.435931,12.607195,12.795927,12.970218,13.144024,13.322311,13.395513,13.616887,13.780338,13.954248,13.995944,14.066572,14.12315,14.180883,14.240289,14.316461,14.382871,14.412919,130602
113,12.208627,12.289018,12.362952,12.465299,12.64791,12.831949,13.002542,13.186993,13.363441,13.453707,13.647079,13.858143,13.980819,14.019295,14.083256,14.144004,14.206571,14.267455,14.347202,14.412145,14.44231,130606
114,11.971057,12.101602,12.179049,12.299529,12.471083,12.642543,12.807645,12.997793,13.179641,13.328539,13.520473,13.688851,13.824011,13.912292,13.986209,14.026011,14.088689,14.170876,14.247293,14.315983,14.339208,130607
